緯度,經度,年,數量,縣市,鄉鎮,地點
24.96449926,121.4477385,2015,1,新北市,土城區,土彈
24.96449926,121.4477385,2015,1,新北市,土城區,土彈
24.84458,121.04388,2015,3,新竹縣,新埔鎮,墾園
24.84458,121.04388,2015,1,新竹縣,新埔鎮,墾園
25.119162,121.470512,2015,不計數,台北市,北投區,關渡自然公園
24.95300536,121.4296637,2015,12,新北市,土城區,原住民公園
24.95300536,121.4296637,2015,2,新北市,土城區,原住民公園
24.95300536,121.4296637,2015,不計數,新北市,土城區,原住民公園
24.95300536,121.4296637,2015,不計數,新北市,土城區,原住民公園
24.94640059,121.3447769,2015,2,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2015,4,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2015,不計數,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2015,1,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2015,1,新北市,鶯歌區,尖山路 
24.95449166,121.4667855,2015,不計數,新北市,土城區,山中湖B
24.95449166,121.4667855,2015,2,新北市,土城區,山中湖B
24.95449166,121.4667855,2015,1,新北市,土城區,山中湖B
24.95449166,121.4667855,2015,不計數,新北市,土城區,山中湖B
25.119162,121.470512,2015,不計數,台北市,北投區,關渡自然公園
25.040294,121.399177,2015,不計數,新北市,新莊區,十八份坑溪上游週邊
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,不計數,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,不計數,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
 25.167930,121.416801,2015,1,新北市,八里區,挖子尾菜園
 25.167930,121.416801,2015,1,新北市,八里區,挖子尾菜園
 25.168585,121.416438,2015,不計數,新北市,八里區,挖子尾土地公廟
24.99386089,121.3606602,2015,1,桃園市,龜山區,茶專路69號至151號間菜園
24.99386089,121.3606602,2015,3,桃園市,龜山區,茶專路69號至151號間菜園
24.99386089,121.3606602,2015,1,桃園市,龜山區,茶專路69號至151號間菜園
24.98397155,121.3657425,2015,1,桃園市,龜山區,大棟山石雲寺
24.148998,120.735726,2015,3,台中市,太平區,太平國中
24.148998,120.735726,2015,不計數,台中市,太平區,太平國中
25.119162,121.470512,2015,不計數,台北市,北投區,關渡自然公園
24.844923,121.044212,2015,5,新竹縣,新埔鎮,墾園農場
24.844923,121.044212,2015,5,新竹縣,新埔鎮,墾園農場
24.844923,121.044212,2015,4,新竹縣,新埔鎮,墾園農場
24.844923,121.044212,2015,3,新竹縣,新埔鎮,墾園農場
24.844923,121.044212,2015,2,新竹縣,新埔鎮,墾園農場
24.844923,121.044212,2015,不計數,新竹縣,新埔鎮,墾園農場
